Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,3,1910,1900s,4
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,3,1910,1900s,1
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,3,1910,1900s,1
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),3,1536,1500s,1
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),3,1984,1900s,1
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,4,1875,1800s,1
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,4,1875,1900s,195
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,4,1875,1900s,90
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,4,1875,1900s,20
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,4,1875,1900s,50
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,5,1631,1600s,4000
Vulcano,Italy,ITA,38.404,14.962,500,Stratovolcano(es),7,NA,1900s,2
Kirishimayama,Japan,JPN,31.934,130.862,1700,Shield,1,1979,1900s,2
Unzendake,Japan,JPN,32.761,130.299,1483,Complex,1,1990,1900s,
Unzendake,Japan,JPN,32.761,130.299,1483,Complex,1,1990,1900s,1
Ontakesan,Japan,JPN,35.893,137.48,3067,Complex,1,1979,1900s,10
Yake-dake,Japan,JPN,36.224,137.59,2455,Stratovolcano(es),1,1995,1900s,4
